Price1,Price2,Price3,Price4,Date
88.37687524811075,102.14819990466998,86.78990682270083,88.95087724908092,2023-10-16
88.35107596602052,102.09749254188988,86.75144412438708,88.91594119424302,2023-10-17
88.36676569784235,102.12077238277598,86.76982070489184,88.92268251037602,2023-10-18
88.37900875396865,102.1370663730655,86.78509751491289,88.93944063428587,2023-10-19
88.38581858582641,102.14978375147854,86.7990583849642,88.95922567085569,2023-10-20
88.35190481704663,102.09001665227866,86.75519786323215,88.89696019733333,2023-10-21
88.38659021758941,102.1462758628545,86.79533055611925,88.95133089630401,2023-10-22
88.37763457500978,102.14507943588396,86.78081697034814,88.94505712514571,2023-10-23
88.38707436980245,102.14463631078378,86.79485921284115,88.95269236928299,2023-10-24
88.3672735056866,102.12684454471643,86.78100753045878,88.950638927846,2023-10-25
88.38837687595107,102.1626685903447,86.79082928889352,88.95336389778055,2023-10-26
88.37781926511579,102.14033231755377,86.78349714380218,88.95047787367018,2023-10-27
88.39864631819825,102.16572050260383,86.80432321437377,88.9686668342403,2023-10-28
88.37638268213195,102.13870542573162,86.78467449563503,88.93582318940716,2023-10-29
88.37581191469236,102.13428515899909,86.77980399532302,88.94342359623609,2023-10-30
88.38108626736332,102.14748713815409,86.79078662661169,88.94669710156042,2023-10-31
88.36186137149927,102.11773690539833,86.76611232683467,88.92091124262754,2023-11-01
88.38817389139224,102.15250439225473,86.79180915027341,88.94539137897317,2023-11-02
88.39273963797456,102.15443484990001,86.79596140015047,88.9566087558806,2023-11-03
88.3721152662055,102.12634484850435,86.7711717786893,88.92801900846659,2023-11-04
88.37390120357341,102.12619329438502,86.77676806300157,88.93807495612137,2023-11-05
88.38023270247935,102.14718960244065,86.7899883908173,88.96591218084143,2023-11-06
88.39045685312229,102.15265645989227,86.79689443150427,88.95453321783441,2023-11-07
88.36822091733455,102.13025739202784,86.77796791401227,88.93900123292842,2023-11-08
88.38000891670669,102.14325012793738,86.7864217356326,88.94263733733801,2023-11-09
88.38962058395826,102.16512636272648,86.79375599190364,88.9583117080381,2023-11-10
88.34664043249388,102.0891726220722,86.74893638617529,88.91029681471669,2023-11-11
88.39560187959589,102.16357688370107,86.7945333042093,88.95631854924429,2023-11-12
88.3420394313748,102.11000882823534,86.76635424860669,88.9223786735976,2023-11-13
88.36895121404082,102.11093803350104,86.76431518028348,88.93026939459912,2023-11-14
88.37407886939575,102.14224833316233,86.78162300380149,88.9475833238816,2023-11-15
88.36333798327304,102.10663859158254,86.77375365467044,88.93186591616553,2023-11-16
88.3371423540843,102.073532338582,86.7526565695024,88.91180667250568,2023-11-17
88.36937481358422,102.14762497267506,86.79181181057376,88.95318358191082,2023-11-18
88.37011724119192,102.13737462882432,86.77259816363203,88.9421669370287,2023-11-19
88.37992813259146,102.14345125982436,86.78208451687615,88.93878201124035,2023-11-20
88.39443084986208,102.16357291955828,86.7956375094258,88.96353070852773,2023-11-21
88.37800243853901,102.15244351791273,86.78259642243927,88.94985845085323,2023-11-22
88.35694795014052,102.11892114529151,86.76276705666925,88.93583446184067,2023-11-23
88.38345708026668,102.14666412136316,86.79318198494907,88.95348986282686,2023-11-24
88.39515948985868,102.15379543959014,86.7896262935156,88.95505310328257,2023-11-25
88.38996306129528,102.14567954845201,86.7942674904073,88.94998447896191,2023-11-26
88.3805345619093,102.14628359359793,86.78984788969896,88.9453985159017,2023-11-27
88.37194536599272,102.130145756523,86.78260757357516,88.93944094231196,2023-11-28
88.35469951457785,102.10992917947252,86.77323950035259,88.92786470728714,2023-11-29
88.35154055464666,102.13772859125905,86.78054954246724,88.94020211854973,2023-11-30
88.36166276148967,102.11983876530952,86.76648491618033,88.92317220858003,2023-12-01
88.39399281012088,102.15216666963539,86.80377957565457,88.95124265142877,2023-12-02
88.37295819096555,102.13710951276713,86.77743059611919,88.93425227654136,2023-12-03
88.3431544818347,102.08807183508657,86.74642255410245,88.90054402921595,2023-12-04
88.42693210624215,102.20148358881866,86.8238088430428,88.98677023350352,2023-12-05
88.379139474265,102.14722819028779,86.78487040777243,88.94773608471536,2023-12-06
88.38682792221788,102.1421076561258,86.79192187912878,88.95656377230053,2023-12-07
88.3798610738488,102.13670648511594,86.78990564009335,88.9454117790119,2023-12-08
88.36016129651884,102.11681847300223,86.75932128079695,88.92498344445094,2023-12-09
88.42029544118924,102.19332912049292,86.82229940138075,88.98594859525858,2023-12-10
88.35639955635244,102.127861633739,86.7863894470017,88.92539585716592,2023-12-11
88.37535916156575,102.13333688960252,86.78002238883191,88.94041132964321,2023-12-12
88.37522309768057,102.14542791036091,86.79077389248717,88.95807241583977,2023-12-13
88.38114749645737,102.14893329224621,86.79138969499616,88.95406803537055,2023-12-14
88.37502175798103,102.1387142905574,86.77982454219847,88.94785177590492,2023-12-15
